hedge,sentence,usage1,usage2
"alguno","Quería saber si <strong>alguno</strong> de vosotros, o alguien que conozcáis, se había traido el coche de Espana y cuánto aproximadamente podría costar.","Pedro no dejó rastro alguno.","Otro"
"especulo","ya, pero en el post 13 <strong>especulo</strong> y amplío los detalles de tan ridícula norma jajajaja","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"frecuentemente","Además, <strong>frecuentemente</strong> no se trata de ideología, sino de oportunidad de hacer carrera dentro de la política.","Mis padres me visitan frecuentemente.","Otro"
"medio","(visa de estudio, residencia, ciudadania, residencia provicional, residencia a <strong>medio</strong> camino, visa de turismo...??)","Juan está medio loco.","Mi asiento es el de en medio."
"generalmente","""Una cosa que la gente olvida es que en la sociedad (<strong>generalmente</strong>) no hay un complot extraterrestre para que estemos como estamos"".","Generalmente no salgo los jueves por la tarde.","Otro"
"propongo","Trato de no pesar en las hostias que me a dado la vida y miro lo bueno que tengo, y lo bueno que espero que me venga si me lo <strong>propongo</strong> y lucho por ello.","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"relativamente","Si haces que un oso sobreviva a base de vegetales, puedes conseguir que tenga una alimentación <strong>relativamente</strong> sana.","Esto debería de ser relativamente sencillo.","Otro"
"bastantes","Es muy sencillo de manejar y asi no tendras intermediarios bancarios, ya que alli en Suramerica los bancos suelen ser <strong>bastantes</strong> costosos, muchisimo mas que en España.","Hay bastantes cosas por hacer.","Otro"
"raramente","En cualquier caso en estos barrios los precios <strong>raramente</strong> superan los 10.000 euros/m2.","Raramente ceno en ese restaurante.","Otro"
"basicamente","Puedes ver todos los requisitos en la web del ministerio de inmigración australiano, pero <strong>basicamente</strong>: tienes que tener un nivel bueno de inglés y experiencia de trabajo en una profesión que ellos consideren en demanda.","La película es básicamente una parodia.","Otro"
"practicamente","Es que aqui beber como se bebe en Europa esta muy jodido.. Te cazan a esa edad con una cerveza y <strong>practicamente</strong> te quedas marcado como un criminal de por vida.","La película es prácticamente una parodia.","Otro"
"virtualmente","Un video para visitar el parlamento sueco <strong>virtualmente</strong>, las oficinas de trabajo de los parlamentarios, etc..","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"ocasionalmente","Lo que dice  de hacerlo todos los días con el mismo es amor, el hacerlo cada día y/o <strong>ocasionalmente</strong> con uno diferente cada día, es follar.","Ocasionalmente visito a mis tíos en España.","Otro"
"bastante","Si te pillas el bus 9, 1) os puede tocar un routemaster de los viejos, b) hace un recorrido <strong>bastante</strong> turístico","Hay bastante trabajo por hacer.","Otro"
"algunos","Va a ser cierto eso de que Alemania no es para todos sino que sólo <strong>algunos</strong> logran sentirse bien aquí.","Algunos dicen que murió ahogado.","Otro"
"podrias","Tú tienes a tu hija, que no es un mueble!!! precisamente si dices que está perdiendo español <strong>podrias</strong> montarte un planning de refuerzo, buscar libritos en español en amazon o que te enviara alguien.","Podrías considerar otra solución.","Tú podrías imaginar un mundo sin violencia."
"tal vez","Es exagerado (<strong>tal vez</strong> injusto) pero no es FALSO.","Tal vez sea mejor que hablemos con tu familia.","Otro"
"varios","yo por aquí sí que he visto <strong>varios</strong> restaurantes donde se puede pagar con tarjeta, y también puedes pagar tu parte por separado (cosa impensable en España), pero no en todos te cogen tarjeta VISA, por ejemplo.","Tenemos varios servicios disponibles.","Otro"
"algo","Ahora mismo no se me ocurren más ideas, a ver si sobre la marcha me viene <strong>algo</strong> más a la cabeza...","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"creo","Yo <strong>creo</strong> que las clasificaciones esas dependen del pais.","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"imagino","Me <strong>imagino</strong> que el juez esta velando por el bienestar del niño","Imagino que hay que actuar cuanto antes.","Imagino un mundo sin violencia."
"parcialmente","Yo he conocido zurdos que giraban el cuaderno y escribían en modo apaisado, he visto zurdos que escriben tapándose (unos totalmente y otros <strong>parcialmente</strong> (como una servidora) y otros que colocan la mano como si estuvieran cogiendo un puñado de sal y girando la mano para sí mismos (jajaja no sabía como describirlo.. menudo día!)","Lo que dices es parcialmente verdadero.","Otro"
"a veces","Podemos parecer <strong>a veces</strong> de la tribu del pirata loco, pero sabemos que no es así, al menos no en todo momento.","A veces puedo ser un poco molesto.","Otro"
"deberia","Los precios de la vivienda tienen que estar controlados y no pasar de una cierta cantidad que <strong>deberia</strong> aumentar según el Ipc.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"parece","Si por ejemplo te dan Toronto alli no hablan francés.... sólo Ottawa y Montreal mitad inglés mitad francés.... la mayoría saben las dos lenguas y el inglés siempre lo saben sino no podrían ver la tele por ejemplo!! Eso me <strong>parece</strong> absurdo!!!""","Me parece que hay que esperar.","Te pareces a tu padre en esta foto."
"podria","Pero que me digan ahora que el dinero no da la felicidad, vamos que si en vez de ganar X, gano 2X, mas contento que unas castanyuelas, y superfeliz, vamos que <strong>podria</strong> ganar menos porque de lo que gano ahorro un pico, pero si ganara mas, mucho mas, ahorraria mas, viviria mejor, me daria mas caprichos..., el ahorro es una tranquilidad, los caprichos son las pequenyas alegrias de la vida, los viajes, etc. y eso se transforma en felicidad.","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"medio","Hola , yo estaré más al sur, estoy mirando piso en Vaihingen, quizás podría ir un dia a verte o podemos quedar en Stuttgart que nos queda en <strong>medio</strong>... y te escapas de tu suegra!","Juan está medio loco.","Mi asiento es el de en medio."
"necesariamente","No sé por qué se adjetiva de esa forma tan insultante a una persona que tiene varias inquietudes o capacidad para hacer cosas muy distintas y no <strong>necesariamente</strong> relacionadas entre sí.","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"quien sabe","hey! pues yo he venido a miami solo con mi pasaporte,como turista, ya se me pasaron los 3 meses, ando ilegal, tengo mi coche i mi licencia internacional,pues el que quiere peces...a mojarse el culo..ya los conseguire algun dia y si no asi ando,,conozco gente aqui que lleva 20 años ilegal,,mientras no cometas ningun delito, palante como los de alicante,y <strong>quien sabe</strong> con un poco de suerte los consigues mas rapido que lo que tardas en solicitar la visa, suerte.","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"aproximadamente","hola Abel! Si todo va bien, en <strong>aproximadamente</strong> un mes acabaré por tierras coreanas, más concretamente en Geoje, no demasiado lejos de Busán.","La pared mide aproximadamente 15 metros.","Otro"
"la mayoria","En latas no encontraras mejillones ni nada de eso, directamente no existe y a <strong>la mayoria</strong> de ingleses les da muchisimo asco y no entienden como podemos comer eso.. son costumbres.","La mayoría de ustedes me conoce.","Otro"
"supongo","No me hubiera importado trabajar para Rogers :) (ni a mi ni a ningun arquitecto primerizo <strong>supongo</strong>) Tengo una amiga sudafricana que trabaja alli y decia que se estaba muy bien.","Supongo que hay que esperar.","Yo no supongo nada para la comunidad."
"puede","Mientras me voy poniendo al día de las novedades (el diseño de la página ha cambiado en este último mes o soy yo que tengo amnesia?), poco a poco porque ya sabéis que en spaniards no <strong>puede</strong> uno despistarse ni dos días (los foros crecen como los hongos!!), qué os parece si os lo vais pensando?","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"espero","¡Eso <strong>espero</strong>!","Espero que todo salga bien.","Espero una respuesta antes del Lunes."
"quien sabe","El puso una lechuga cortada (sin aliñar) y sacó dos botes de salsa barbacoa abiertos de <strong>quien sabe</strong> cuándo.","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"siento","Es como me <strong>siento</strong> yo por parte de la Administración de la Comunidad Valenciana, completamente excluído... a lo mejor es tener demasiadas pretnesiones... ;)","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"hay quien","(o 9 gr en 1 litro) <strong>hay quien</strong> le pone bicarbonato, pero bueno, eso depende de la ""receta"".","Hay quien dice que murió ahogado.","Otro"
"un par","En mi coche llevo una bandera de Asturias en la luna trasera, hace <strong>un par</strong> de semanas, iba para el norte por la M50 de Dublin y un tio de copiloto en una furgoneta me empieza a hacer gestos segun me adelanta, al cabo de unos segundos me enseño el pasaporte espaniardo XD","Tengo un par de sugerencias.","La tercia vence al par en un juego de póquer."
"tal vez","Mira esto, <strong>tal vez</strong> le interese, ya que no esta tan lejos.","Tal vez sea mejor que hablemos con tu familia.","Otro"
"practicamente","Yo personalmente creo que he tenido una suerte enorme con mi vida, ha sido emocionante, he hecho <strong>practicamente</strong> todo lo que queria hacer y tengo muchos suenyos que cumplir aun.","La película es prácticamente una parodia.","Otro"
"quiza","Si, <strong>quiza</strong> lo es para muchos, pero para mi es lo natural cuando intentas integrarte en una sociedad con la que no tienes absolutamente nada en comun.","Quizá sea mejor que hablemos con tu familia.","Otro"
"alguno","Si <strong>alguno</strong> se presta voluntario para ayudarme o decirme donde ir a buscarla o como funciona el tema le estaria inmensamente agradecido.","Pedro no dejó rastro alguno.","Otro"
"relativamente","un cero a la izquierda o no?, Chile no hace tanto bajo la cristianisima tirania de Pinochet, tres cuartos de lo mismo, Surafrica hace <strong>relativamente</strong> poco los cristianisimos mantenian la esclavitud....y en USA hasta hace poco Obama no podria ser ni candidato...mas claro, insisto es lo de siempre los extremismos sea cual sea la religion, ideologia etc etc","Esto debería de ser relativamente sencillo.","Otro"
"sugiero","debido a que estaba mirando pa celebrar el cumple de un amigo.... me encontré con que el tierra astur de gijón tiene muy buena pinta, casi mejor que el de colloto, así que mi idea, la cual <strong>sugiero</strong> solamente, es hacer la quedada veraniega en poniente en tierra astur: y así repetimos comida en un lugar del que todos salimos encantados y encima con vistas al mar ;-P","Sugiero que esperemos un momento.","Sugiero y evoco recuerdos de la infancia al tocar el piano."
